KEY,FACE_TYPE,CLIENT_ID,SKU_ID,TRACKING_LEVEL,OWNER_ID,ORIGIN_ID,CONDITION_ID,SPEC_CODE,SITE_ID,LOCATION_ID,ZONE_1,TRIGGER_QTY,MIN_REPLEN_QTY,MAX_TASK_QTY,MAX_RELD_REPLEN,AUTO_REPLEN,REPLEN_WHOLE,ABC_FREQUENCY,ABC_STORAGE,ABC_DISABLE,BATCH_REPLEN_MODE,START_DSTAMP,END_DSTAMP,QTY_ON_HAND,QTY_ALLOCATED,QTY_DUE,PRIMARY_FACE,MAXIMUM_QTY,OVERFILL_RELATIVE_QTY,REPLEN_TRACKING_LEVEL,CE_INV_TYPE,CE_UNDER_BOND,MULTIPLE_LOCATIONS,REPLEN_ON_HOLD,REPLEN_TO_TRIGGER,REPLEN_SPLIT_TO_FIT,MAX_LOCATIONS,FROM_LOCATION,TO_LOCATION,FROM_AISLE,TO_AISLE,FROM_BAY,TO_BAY,FROM_LEVEL,TO_LEVEL,USER_DEF_TYPE_1,USER_DEF_TYPE_2,USER_DEF_TYPE_3,USER_DEF_TYPE_4,USER_DEF_TYPE_5,USER_DEF_TYPE_6,USER_DEF_TYPE_7,USER_DEF_TYPE_8,USER_DEF_CHK_1,USER_DEF_CHK_2,USER_DEF_CHK_3,USER_DEF_CHK_4
64501,F,M+S,60569314,,M+S,,,,9771,WE38A02,,30,,,,Y,Y,,,N,N,,,408,186,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,6,2018,,N,N,N,N
64183,F,M+S,60700926,,M+S,,,,9771,AZ06A01,,48,,,,Y,Y,,,N,N,,,156,6,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
53526,F,M+S,60633029,,M+S,,,,9771,WC60A02,,40,,,,Y,Y,,,N,N,,,872,24,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,8,0,,N,N,N,N
61435,F,M+S,21041840,,M+S,,,,9771,AQ53A01,,60,,,,Y,Y,,,N,N,,,816,996,936,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
59943,F,M+S,60042973,,M+S,,,,9771,AX37A02,,486,,,,Y,Y,,,N,N,,,324,114,2256,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
70753,F,M+S,20062771,,M+S,,,,9771,BF70A02,,192,,,,Y,Y,,,N,N,,,0,1032,1992,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,24,,,N,N,N,N
61746,F,M+S,60620777,,M+S,,,,9771,AZ48A01,,1,1568,,,Y,N,,,N,N,,,1169,609,0,Y,1568,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,7,,,N,N,N,N
61437,F,M+S,60445842,,M+S,,,,9771,AQ20A01,,80,,,,Y,Y,,,N,N,,,360,150,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,30,,,N,N,N,N
61438,F,M+S,20001353,,M+S,,,,9771,AQ68A01,,150,,,,Y,Y,,,N,N,,,30,540,1200,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,30,,,N,N,N,N
70759,F,M+S,21050824,,M+S,,,,9771,BE44A02,,360,,,,Y,Y,,,N,N,,,1008,324,0,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,36,,,N,N,N,N
