DATE,USER_ID,REPLEN_SKIP_FROM_LOC,REPLENISH_TO_LOC,REPLEN_AISLE,SKIP_AISLE,AISLE_DISTANCE,TIME_TO_SKIP,,,,
29/10/2024,SHAHAN,VGOUTL02,BC72A01,BC,VG,45,1253.78083,,,,
29/10/2024,STIRAN,VG43N01,BC16A02,BC,VG,45,2.36048,,,,
29/10/2024,STIRAN,VG79N01,BC16A02,BC,VG,45,4.132436,,,,
29/10/2024,STIRAN,VG80N02,BC30A02,BC,VG,45,2.40067,,,,
30/10/2024,KABIWA,VH21E02,BB39A02,BB,VH,45,90.982218,,,,
30/10/2024,KABIWA,VH33G01,BB39A02,BB,VH,45,92.363743,,,,
30/10/2024,SINGKA,VL18A01,AY61A01,AY,VL,45,378.886276,,,,
30/10/2024,SINGKA,VL18A01,AY61A01,AY,VL,45,381.32583,,,,
31/10/2024,RASHZA,VGOUTG02,BC71A01,BC,VG,45,3.571977,,,,
31/10/2024,WOODPE,VH57E02,BB08A01,BB,VH,45,326.77249,,,,
31/10/2024,WOODPE,VH55C02,BB03A01,BB,VH,45,1135.53748,,,,
31/10/2024,WOODPE,VH55C02,BB03A01,BB,VH,45,3089.617583,,,,
30/09/2024,GHAZRE,VGOUTC02,BB31A02,BB,VG,44,12.636281,,,,
01/10/2024,BANOMO,VGOUTL02,BB06A01,BB,VG,44,5.563891,,,,
01/10/2024,GHAZRE,VFOUTG02,BC61A01,BC,VF,44,710.221285,,,,
01/10/2024,GHAZRE,VFOUTA01,BC61A01,BC,VF,44,713.743943,,,,
02/10/2024,GHAZRE,VFOUTL02,BC06A02,BC,VF,44,1.702128,,,,
02/10/2024,GHAZRE,VGOUTE01,BB69A02,BB,VG,44,252.697486,,,,
02/10/2024,GHAZRE,VJ12A01,AZ25A02,AZ,VJ,44,268.66972,,,,
02/10/2024,SUTKEV,VFOUTL02,BC22A01,BC,VF,44,3.272933,,,,
02/10/2024,ZEBAKH,VFOUTL02,BC54A02,BC,VF,44,4.117774,,,,
03/10/2024,ZEBAKH,VFOUTC02,BC51A01,BC,VF,44,2.190826,,,,
04/10/2024,DHILGU,VH01A02,BA33A01,BA,VH,44,7.566699,,,,
06/10/2024,BIBIHA,VGOUTA01,BB68A02,BB,VG,44,4.346889,,,,
06/10/2024,SINGSH,VFOUTA02,BC79A02,BC,VF,44,336.355632,,,,
06/10/2024,SINGSH,VFOUTA02,BC79A02,BC,VF,44,342.330126,,,,
06/10/2024,SINGSH,VFOUTA02,BC79A02,BC,VF,44,344.463703,,,,
06/10/2024,SINGSH,VFOUTA02,BC79A02,BC,VF,44,349.00953,,,,
06/10/2024,SINGSH,VFOUTA02,BC79A02,BC,VF,44,361.931083,,,,
07/10/2024,WADECA,VF01N01,BC66A01,BC,VF,44,0.740433,,,,
08/10/2024,MIKODO,VF74N02,BC23A02,BC,VF,44,990.056234,,,,
08/10/2024,MIKODO,VF74N02,BC44A02,BC,VF,44,3.176342,,,,
10/10/2024,AAKAMU,VK45A01,AY64A01,AY,VK,44,1683.386941,,,,
10/10/2024,KUMAAJ,VF80C02,BC18A02,BC,VF,44,16.86661,,,,
10/10/2024,KUMAAJ,VF23G01,BC18A02,BC,VF,44,19.68793,,,,
10/10/2024,KUMAAJ,VF80C02,BC18A02,BC,VF,44,33.990995,,,,
10/10/2024,KUMAAJ,VF80C02,BC18A02,BC,VF,44,279.025957,,,,
10/10/2024,KUMAAJ,VF23G01,BC18A02,BC,VF,44,281.412554,,,,
10/10/2024,KUMAAJ,VF23G01,BC18A02,BC,VF,44,778.507902,,,,
10/10/2024,KUMAAJ,VF80C02,BC18A02,BC,VF,44,922.009702,,,,
11/10/2024,MILABA,VFOUTA01,BC69A02,BC,VF,44,364.669273,,,,
11/10/2024,MILABA,VFOUTA01,BC69A02,BC,VF,44,372.007937,,,,
13/10/2024,GRIFJO,VF71G02,BC68A02,BC,VF,44,101.207841,,,,
14/10/2024,GHAZRE,VFOUTA02,BC16A01,BC,VF,44,15.456127,,,,
17/10/2024,GHAZRE,VGOUTJ01,BB41A02,BB,VG,44,187.235142,,,,
17/10/2024,WOODPE,VF64A01,BC68A02,BC,VF,44,3459.921176,,,,
20/10/2024,WOODPE,VH55C01,BA01A01,BA,VH,44,644.427002,,,,
21/10/2024,WOODPE,VG49A01,BB02A01,BB,VG,44,4123.34572,,,,
21/10/2024,WOODPE,VG49A01,BB02A01,BB,VG,44,4147.423835,,,,
23/10/2024,SUTKEV,VBOUTG01,BG11A01,BG,VB,44,62.664397,,,,
24/10/2024,LAKHSO,VCOUTJ01,BF12A01,BF,VC,44,33.289205,,,,
24/10/2024,LAKHSO,VCOUTJ01,BF12A01,BF,VC,44,1094.124842,,,,
24/10/2024,LAKHSO,VCOUTJ01,BF12A01,BF,VC,44,1106.019657,,,,
24/10/2024,MIKODO,VC79N02,BF69A02,BF,VC,44,136.37047,,,,
24/10/2024,PANKPA,VF64N01,BC56A01,BC,VF,44,87.854128,,,,
25/10/2024,EBRAMO,VG48L02,BB28A02,BB,VG,44,4.326565,,,,
26/10/2024,MATHVI,VL72A01,AX69A02,AX,VL,44,243.340233,,,,
26/10/2024,MATHVI,VFOUTL01,BC72A01,BC,VF,44,292.189087,,,,
