DATE,USER_ID,LAST_PICK_TIME,ISTOP_TIME,TIME_LOST_DUE_TO_EARLY_ISTOP
2024-12-10,HASSAS,2024-12-10 08:54:23.607718,2024-12-10 10:55:07,0 days 02:00:43.392282
2024-12-10,SIKHSA,2024-12-10 09:20:50.580437,2024-12-10 10:56:18,0 days 01:35:27.419563
2024-12-10,ASADKH,2024-12-10 02:10:36.488937,2024-12-10 04:12:40,0 days 02:02:03.511063
2024-12-10,ZAFESA,2024-12-10 09:38:22.035442,2024-12-10 09:52:00,0 days 00:13:37.964558
2024-12-10,ASADKH,2024-12-10 01:10:29.104122,2024-12-10 01:32:08,0 days 00:21:38.895878
2024-12-10,ASADKH,2024-12-10 01:10:29.104122,2024-12-10 01:32:50,0 days 00:22:20.895878
2024-12-10,SIDHSU,2024-12-10 09:50:31.103029,2024-12-10 09:54:10,0 days 00:03:38.896971
2024-12-10,SURAZU,2024-12-10 10:25:35.701074,2024-12-10 11:02:42,0 days 00:37:06.298926
2024-12-10,SINSAN,2024-12-10 09:48:28.303355,2024-12-10 09:54:16,0 days 00:05:47.696645
2024-12-10,MATHVI,2024-12-10 09:53:30.024176,2024-12-10 09:57:43,0 days 00:04:12.975824
2024-12-10,ASADKH,2024-12-10 01:37:32.466404,2024-12-10 01:41:31,0 days 00:03:58.533596
2024-12-10,MUSHAH,2024-12-10 09:50:17.417148,2024-12-10 09:58:42,0 days 00:08:24.582852
2024-12-10,RAJAME,2024-12-10 09:58:45.870592,2024-12-10 09:59:48,0 days 00:01:02.129408
2024-12-10,HOPKST,2024-12-10 04:04:33.276477,2024-12-10 23:12:20,0 days 19:07:46.723523
2024-12-10,OPATEM,2024-12-10 01:45:00.154055,2024-12-10 01:47:39,0 days 00:02:38.845945
2024-12-10,RAUDAR,2024-12-10 10:21:06.038693,2024-12-10 17:49:39,0 days 07:28:32.961307
2024-12-10,HOLLDA,2024-12-10 17:37:29.332829,2024-12-10 17:49:52,0 days 00:12:22.667171
2024-12-10,KHANBA,2024-12-10 08:07:43.289959,2024-12-10 17:50:05,0 days 09:42:21.710041
2024-12-10,KUMARA,2024-12-10 10:29:18.257960,2024-12-10 17:50:22,0 days 07:21:03.742040
2024-12-10,JETLAN,2024-12-10 15:50:12.188022,2024-12-10 17:50:32,0 days 02:00:19.811978
2024-12-10,KHAMUH,2024-12-10 13:47:54.461142,2024-12-10 17:52:21,0 days 04:04:26.538858
2024-12-10,DANASH,2024-12-10 17:48:48.696875,2024-12-10 17:52:31,0 days 00:03:42.303125
2024-12-10,BALHUS,2024-12-10 01:02:51.492515,2024-12-10 01:50:11,0 days 00:47:19.507485
2024-12-10,MANJSI,2024-12-10 07:49:04.687714,2024-12-10 07:49:34,0 days 00:00:29.312286
2024-12-10,SALEQA,2024-12-10 13:49:35.980617,2024-12-10 17:53:53,0 days 04:04:17.019383
2024-12-10,ARORAS,2024-12-10 17:47:31.078715,2024-12-10 17:53:58,0 days 00:06:26.921285
2024-12-10,HASSAS,2024-12-10 08:54:23.607718,2024-12-10 17:54:18,0 days 08:59:54.392282
2024-12-10,DARYAB,2024-12-10 10:30:14.603147,2024-12-10 17:54:19,0 days 07:24:04.396853
2024-12-10,DINMUH,2024-12-10 01:36:26.386945,2024-12-10 01:50:56,0 days 00:14:29.613055
2024-12-10,SOHAAH,2024-12-10 01:51:08.524008,2024-12-10 01:51:46,0 days 00:00:37.475992
2024-12-10,HAMMAL,2024-12-10 18:41:25.841603,2024-12-10 18:50:51,0 days 00:09:25.158397
2024-12-10,FAISJA,2024-12-10 01:50:08.509315,2024-12-10 01:52:26,0 days 00:02:17.490685
2024-12-10,HMEDMU,2024-12-10 01:48:48.487490,2024-12-10 01:53:00,0 days 00:04:11.512510
